速単冬休み範囲【日⇒英】,,,
id,english,japanese,pos
176,scent,香り,n
177,industry,産業；工業；勤勉,n
178,poet,詩人,n
179,attempt,試み,n
180,trial,試み；裁判；試練,n
181,automobile,自動車,n
182,mainstream,主流；大勢,n
183,luggage,手荷物,n
184,cycle,周期；循環,n
185,gathering,集まり；収集物,n
186,incident,出来事；事件,n
187,circulation,循環；流通；発行部数,n
188,stream,小川；流れ,n
189,vehicle,乗り物；伝達手段,n
190,passion,情熱,n
191,steam,蒸気,n
192,colony,植民地；群生,n
193,textile,織物，布地,n
194,faith,信頼；信仰,n
195,grief,深い悲しみ,n
196,progress,進歩；前進,n
197,wire,針金；ケーブル,n
198,mill,製粉場；工場,n
199,pile,積み重ね,n
200,contact,接触；連絡,n
201,reception,接待；受付；反応；宴会,n
202,layout,設計，配置,n
203,panel,専門家集団；計器盤,n
204,layer,層,n
205,accomplishment,達成；功績,n
206,region,地域；分野,n
207,district,地域；地区,n
208,loyalty,忠誠,n
209,tide,潮；潮流；傾向,n
210,currency,通貨；普及,n
211,extent,程度；範囲,n
212,mud,泥,n
213,tool,道具；手段,n
214,privilege,特権（階級）；特典,n
215,feature,特徴；［複］顔立ち,n
216,refugee,難民,n
217,duty,任務；義務；関税,n
218,enthusiasm,熱中；熱意,n
219,ambition,熱望；野心,n
220,aspiration,熱望；野望,n
221,pension,年金,n
222,clay,粘土,n
223,invention,発明（品）,n
224,penalty,罰（金）,n
225,revolt,反逆,n
226,prosperity,繁栄,n
227,deficit,不足（額）；赤字,n
228,drawback,不利な点；欠点,n
229,disadvantage,不利益；不利,n
230,landscape,風景（画）,n
231,molecule,分子,n
232,insurance,保険,n
233,premium,保険料；割増料金,n
234,sanctuary,保護区域；聖域,n
235,pace,歩調；速度,n
236,reward,報酬；褒美,n
237,bubble,泡,n
238,amusement,面白さ；娯楽,n
239,fur,毛；毛皮,n
240,grace,優雅さ；神の恩寵,n
241,surplus,余剰；黒字,n
242,margin,余白；差；利ざや,n
243,deposit,預金；堆積物,n
244,ease,容易さ；安楽さ,n
245,advantage,利点；利益；有利,n
246,access,利用権；接近,n
247,particle,粒子；微量,n
248,journey,旅行；行程,n
249,tear,涙,n
